Filename,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,NPofB10,NPofB15,NPofB20,NPofB25,NPofB30,NPofB35,NPofB40,NPofB45,NPofB50,NPofB55,NPofB60,NPofB65,NPofB70,NPofB75,NPofB80,NPofB85,NPofB90,NPofB95,NPofB100,NAverage_Pofb
Keymind-A_5_3_kStar.csv,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.5,0.5,0.9,0.9,1,1,1,1,1,1,0.568421053,0.5,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,0.833333333
Keymind-A_5_3_logistic.csv,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.555555556,0.888888889,1,0.157894737,0.5,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.868421053
Keymind-A_5_3_naiveBayes.csv,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.8,1,1,1,0.489473684,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,1,1,1,1,1,0.622807018
Keymind-A_5_3_randomForest.csv,0.2,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1,0.710526316,0.5,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,0.833333333
Keymind-A_5_3_smo.csv,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.666666667,0.888888889,1,1,0.274853801,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.8,1,1,0.326315789
Keymind-A_5_4_bayesNet.csv,0.288461538,0.346153846,0.538461538,0.576923077,0.634615385,0.653846154,0.75,0.769230769,0.788461538,0.807692308,0.923076923,0.942307692,0.961538462,1,1,1,1,1,1,0.788461538,0.30952381,0.428571429,0.547619048,0.571428571,0.642857143,0.714285714,0.738095238,0.785714286,0.833333333,0.857142857,0.880952381,0.928571429,0.976190476,1,1,1,1,1,1,0.80075188
Keymind-A_5_4_begging.csv,0.211538462,0.269230769,0.346153846,0.461538462,0.557692308,0.673076923,0.75,0.788461538,0.826923077,0.884615385,0.884615385,0.903846154,0.942307692,0.980769231,1,1,1,1,1,0.762145749,0.30952381,0.428571429,0.523809524,0.547619048,0.642857143,0.666666667,0.761904762,0.785714286,0.833333333,0.880952381,0.880952381,0.904761905,0.928571429,0.976190476,1,1,1,1,1,0.793233083
Keymind-A_5_4_decisionTable.csv,0.269230769,0.384615385,0.461538462,0.480769231,0.538461538,0.557692308,0.576923077,0.596153846,0.653846154,0.711538462,0.730769231,0.75,0.923076923,0.980769231,0.980769231,1,1,1,1,0.715587045,0.285714286,0.380952381,0.452380952,0.523809524,0.547619048,0.595238095,0.642857143,0.666666667,0.69047619,0.761904762,0.833333333,0.952380952,0.952380952,0.952380952,0.952380952,1,1,1,1,0.746867168
Keymind-A_5_4_ibk.csv,0.25,0.365384615,0.461538462,0.5,0.519230769,0.557692308,0.596153846,0.615384615,0.615384615,0.634615385,0.653846154,0.711538462,0.807692308,0.865384615,0.923076923,0.923076923,0.923076923,0.942307692,1,0.677125506,0.166666667,0.30952381,0.428571429,0.476190476,0.5,0.547619048,0.595238095,0.619047619,0.619047619,0.642857143,0.666666667,0.738095238,0.761904762,0.833333333,0.904761905,0.904761905,0.904761905,0.928571429,1,0.660401003
Keymind-A_5_4_j48.csv,0.307692308,0.423076923,0.480769231,0.5,0.557692308,0.596153846,0.653846154,0.711538462,0.826923077,0.846153846,0.865384615,0.903846154,0.942307692,0.980769231,0.980769231,1,1,1,1,0.767206478,0.261904762,0.380952381,0.5,0.523809524,0.547619048,0.595238095,0.642857143,0.714285714,0.80952381,0.857142857,0.857142857,0.880952381,0.928571429,0.976190476,0.976190476,1,1,1,1,0.760651629
